"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2364342,"May 14, 2022",Ohio,Uhrichsville,"Feed Springs Rd",1,0,N/A
2301663,"May 13, 2022",Arizona,Phoenix,"47th Ave and Thomas Rd",1,0,N/A
2300812,"May 12, 2022","North Carolina",Statesville,"200 block of E Front St",1,0,N/A
2300193,"May 11, 2022",Texas,Waco,"3501 Alta Vista Dr",1,0,N/A
2297984,"May 9, 2022",Tennessee,"Johnson City (Gray)","Bobby Hicks Hwy and Kingsport Hwy",1,0,N/A
2297952,"May 8, 2022","North Carolina","Rocky Mount","Meadowbrook Rd and Springfield Rd",1,0,N/A
2301979,"May 7, 2022",Texas,Trent,N/A,1,0,N/A
2296058,"May 6, 2022",Washington,Pullman,"1455 NE Brandi Way",1,0,N/A
2296002,"May 5, 2022",Alabama,Dutton,AL-40,1,0,N/A
2295738,"May 5, 2022",Texas,Dallas,"2500 block of Fatima Ave",1,0,N/A
2295052,"May 5, 2022",Ohio,Columbus,"1899 Oakland Park Ave",1,0,N/A
2293994,"May 4, 2022","New York",Brooklyn,"1550 Sterling Pl",1,0,N/A
2294003,"May 3, 2022",Georgia,Valdosta,"1000 block of N Lee St",1,0,N/A
2379684,"May 3, 2022",Texas,Porter,"21000 block of Rio Valley Ct",1,0,N/A
2293216,"May 3, 2022",Florida,"Pembroke Pines","13600 block of NW 4th St",1,0,N/A
2293685,"May 2, 2022",Arkansas,Sherwood,N/A,1,0,N/A
2292748,"May 2, 2022",Texas,Katy,"22300 block of Guston Hall Ln",1,0,N/A
2291903,"May 1, 2022",Louisiana,Shreveport,"Mitchell Ln and Fairfield Ave",1,0,N/A
2293282,"May 1, 2022",Nebraska,Aurora,N/A,1,0,N/A
2291798,"April 30, 2022",Indiana,"South Bend","1000 block of Woodbine Way",1,0,N/A
2290628,"April 28, 2022",Minnesota,Minneapolis,"2200 block of N James Ave",1,0,N/A
2288933,"April 26, 2022",Minnesota,"Lake Lillian","10900 block of SE 165th Ave",1,0,N/A
2288433,"April 26, 2022",Louisiana,"New Orleans","400 block of Burgundy St",1,0,N/A
2286385,"April 24, 2022","South Carolina",Scranton,"396 S Glendale School Rd",1,0,N/A
2285521,"April 23, 2022",Texas,Houston,"3525 S Sam Houston Pkwy E",1,0,N/A
2285738,"April 23, 2022",Louisiana,Lafayette,"1300 block of NE Evangeline Thwy",1,0,N/A
2283436,"April 19, 2022",Texas,"Round Rock","1600 block of Gattis School Rd",1,2,N/A
2283611,"April 19, 2022",Indiana,Evansville,"2500 block of W Virginia St",1,0,N/A
2282234,"April 18, 2022",Minnesota,Lynd,N/A,1,0,N/A
2281849,"April 17, 2022",Colorado,Denver,"1700 block of S Pecos St",1,0,N/A
2281993,"April 16, 2022","New York","Corona (Queens)","117-09 Guy R Brewer Blvd",1,0,N/A
2280526,"April 15, 2022",Minnesota,Minneapolis,"341 Hennepin Ave",1,0,N/A
2280916,"April 15, 2022",Ohio,"Cleveland (South Euclid)","Wrenford Rd and Bexley Blvd",1,0,N/A
2278104,"April 13, 2022",Nevada,Henderson,"103 Sicily Hills Ct",1,0,N/A
2277989,"April 13, 2022",Texas,Houston,"2400 block of Milby St",1,1,N/A
2276842,"April 12, 2022","New York",Bronx,"Sheridan Ave and McClellan St",1,0,N/A
